Index     ons     dos     tros         x1          y1          z1        x2        y2         z2         x3         y3          z3
0           1      3       0     -0.023403   0.012941   0.000000   0.608132   25.000000   0.750616      inf         inf         inf   
1           3      0       0     0.883660   25.000000   -0.747994       inf           inf           inf       inf   inf   inf
2           1      3       0     -0.027624   0.016384   0.000000   0.582352   25.000000   0.750615      inf         inf         inf   
3           3      0       0     0.868374   25.000000   -0.752192       inf           inf           inf       inf   inf   inf
4           1      3       0     -0.014198   -0.011947   0.000000   0.667320   25.000000   0.750619      inf         inf         inf   
5           1      2       3     -0.006687   -0.009615   0.000000   -0.000086   0.220062   0.006894   -0.750589   25.000000   0.750653
6           1      3       0     -0.024572   -0.014449   0.000000   0.605255   25.000000   0.750620      inf         inf         inf   
7           3      0       0     0.933574   25.000000   -0.753226       inf           inf           inf       inf   inf   inf
8           1      2       3     -0.008202   -0.008185   0.000000   -0.000134   0.275624   0.008519   -0.750582   25.000000   0.750661
9           1      3       0     -0.049034   -0.000094   0.000000   0.456206   25.000000   0.750618      inf         inf         inf   
10          3      0       0     0.864037   25.000000   -0.748602       inf           inf           inf       inf   inf   inf
11          1      3       0     -0.026531   0.001110   0.000000   0.591151   25.000000   0.750617      inf         inf         inf   
12          1      2       3     -0.005973   -0.011284   0.000000   -0.000066   0.193136   0.006135   -0.750592   25.000000   0.750649
13          3      0       0     0.876259   25.000000   -0.748758       inf           inf           inf       inf   inf   inf
14          1      2       3     -0.001344   0.005977   0.000000   -0.000005   0.051032   0.001353   -0.750612   25.000000   0.750625
15          1      3       0     -0.020634   0.000165   0.000000   0.626693   25.000000   0.750618      inf         inf         inf   
16          1      3       0     -0.042118   -0.002819   0.000000   0.498086   25.000000   0.750618      inf         inf         inf   
17          2      1       3     -0.000245   -0.363738   0.010524   -0.010587   -0.014190   0.000000   -0.750593   25.000000   0.750649
18          3      0       0     0.868938   25.000000   -0.753031       inf           inf           inf       inf   inf   inf
19          1      3       0     -0.036010   -0.006602   0.000000   0.535299   25.000000   0.750618      inf         inf         inf   
20          1      3       0     -0.025236   -0.011063   0.000000   0.600747   25.000000   0.750619      inf         inf         inf   
21          1      2       3     -0.005854   0.007114   0.000000   -0.000076   0.207661   0.006023   -0.750613   25.000000   0.750623
22          2      1       3     -0.000018   -0.099439   0.003379   -0.003393   0.013410   0.000000   -0.750594   25.000000   0.750647
23          3      0       0     1.000953   25.000000   -0.749857       inf           inf           inf       inf   inf   inf
24          2      1       3     -0.000025   -0.116539   0.003695   -0.003707   0.006681   0.000000   -0.750588   25.000000   0.750654
25          2      1       3     -0.000296   -0.398848   0.011668   -0.011752   -0.011074   0.000000   -0.750587   25.000000   0.750655
26          3      0       0     0.881483   25.000000   -0.750784       inf           inf           inf       inf   inf   inf
27          3      0       0     0.923139   25.000000   -0.749580       inf           inf           inf       inf   inf   inf
28          1      3       0     -0.013472   -0.005760   0.000000   0.670669   25.000000   0.750618      inf         inf         inf   
29          3      0       0     0.844906   25.000000   -0.752279       inf           inf           inf       inf   inf   inf
30          3      0       0     1.031886   25.000000   -0.750859       inf           inf           inf       inf   inf   inf
31          1      3       0     -0.041003   0.005333   0.000000   0.503720   25.000000   0.750617      inf         inf         inf   
32          3      0       0     0.864864   25.000000   -0.748696       inf           inf           inf       inf   inf   inf
33          3      0       0     0.827205   25.000000   -0.750477       inf           inf           inf       inf   inf   inf
34          3      0       0     0.908432   25.000000   -0.749905       inf           inf           inf       inf   inf   inf
35          1      3       0     -0.027106   -0.002577   0.000000   0.588243   25.000000   0.750618      inf         inf         inf   
36          1      3       0     -0.025108   -0.000551   0.000000   0.599940   25.000000   0.750618      inf         inf         inf   
37          3      0       0     0.959944   25.000000   -0.752379       inf           inf           inf       inf   inf   inf
38          1      3       0     -0.043292   -0.005228   0.000000   0.491339   25.000000   0.750618      inf         inf         inf   
39          1      3       0     -0.017485   -0.004147   0.000000   0.646288   25.000000   0.750618      inf         inf         inf   
40          3      0       0     0.898582   25.000000   -0.751686       inf           inf           inf       inf   inf   inf
41          3      0       0     0.990742   25.000000   -0.747995       inf           inf           inf       inf   inf   inf
42          2      1       3     -0.000002   -0.031751   0.001204   -0.001206   0.008418   0.000000   -0.750594   25.000000   0.750646
43          2      1       3     -0.000043   -0.153781   0.004632   -0.004647   0.000503   0.000000   -0.750582   25.000000   0.750662
44          1      3       0     -0.010492   -0.012650   0.000000   0.689743   25.000000   0.750619      inf         inf         inf   
45          2      1       3     -0.000100   -0.234012   0.007475   -0.007529   0.015740   0.000000   -0.750582   25.000000   0.750661
46          2      1       3     -0.000047   -0.160049   0.004325   -0.004329   -0.016493   0.000000   -0.750610   25.000000   0.750626
47          1      3       0     -0.028578   0.011070   0.000000   0.577413   25.000000   0.750616      inf         inf         inf   
48          1      2       3     -0.000984   -0.004241   0.000000   -0.000001   0.028663   0.000988   -0.750604   25.000000   0.750634
49          1      3       0     -0.029404   0.015350   0.000000   0.571848   25.000000   0.750616      inf         inf         inf   
50          2      1       3     -0.000017   -0.098020   0.002613   -0.002614   -0.011186   0.000000   -0.750586   25.000000   0.750657
51          1      3       0     -0.027868   0.008069   0.000000   0.582104   25.000000   0.750616      inf         inf         inf   
52          1      3       0     -0.041804   -0.013382   0.000000   0.501348   25.000000   0.750619      inf         inf         inf   
